"Trazado1"
"Tiempo (sec)","Desplazamiento angular1 (deg)"
0,-0.00271616156541112
0.04,-0.00271350457659354
0.08,-0.0026949483475069
0.12,-0.00264495910549725
0.16,-0.00254921181868521
0.2,-0.00239607366969533
0.24,-0.00217892219952605
0.28,-0.00189969614505345
0.32,-0.00157440875462327
0.36,-0.00124180087620904
0.4,-0.000976566742216021
0.44,-0.000895828258678876
0.48,-0.001100996450656
0.52,-0.00164531177475377
0.56,-0.00251608200383374
0.6,-0.00360620675127932
0.64,-0.00468852718809593
0.68,-0.00562886125211189
0.72,-0.00637618668242332
0.76,-0.00691480266982739
0.8,-0.00728954546959827
0.84,-0.00763499788644407
0.88,-0.00820800570323079
0.92,-0.00929284939519173
0.96,-0.0109662677095289
1,-0.0132461352650313
1.04,-0.0161189897285603
1.08,-0.0195337102501845
1.12,-0.0233917776767103
1.16,-0.0275310467997312
1.2,-0.0316991938503792
1.24,-0.0356448581361711
1.28,-0.0392987923528305
1.32,-0.0426352386264424
1.36,-0.0456567899194267
1.4,-0.0484031749717964
1.44,-0.0509605993351763
1.48,-0.053471334378972
1.52,-0.0561433235381206
1.56,-0.0592579996634349
1.6,-0.0630494485321175
1.64,-0.0675491870052912
1.68,-0.0727514605095691
1.72,-0.0786341161011496
1.76,-0.0851561161556644
1.8,-0.0922546480580677
1.84,-0.099841256855058
1.88,-0.107797526723376
1.92,-0.115969090888709
1.96,-0.124158976149809
2,-0.132209058873135
2.04,-0.140111331824774
2.08,-0.147888539067211
2.12,-0.155578745677977
2.16,-0.163237617534656
2.2,-0.170940444838323
2.24,-0.178784682478553
2.28,-0.186891930578836
2.32,-0.195408630651652
2.36,-0.204429863369348
2.4,-0.213942740014596
2.44,-0.223918154948642
2.48,-0.234318293753141
2.52,-0.245095857838603
2.56,-0.256193065898237
2.6,-0.267540276334022
2.64,-0.279060837576283
2.68,-0.290728783891502
2.72,-0.302554496384313
2.76,-0.314551854921965
2.8,-0.326738437209435
2.84,-0.339135508782436
2.88,-0.351768512224105
2.92,-0.36465931220208
2.96,-0.377802687246381
3,-0.391185947417807
3.04,-0.404794590740146
3.08,-0.418612298792077
3.12,-0.432620821943395
3.16,-0.446801575868935
3.2,-0.461146045714468
3.24,-0.47565005357013
3.28,-0.490310081769516
3.32,-0.505122709505155
3.36,-0.520084872595044
3.4,-0.535192772399372
3.44,-0.550438101346867
3.48,-0.565810620029225
3.52,-0.581299843431817
3.56,-0.596894629643847
3.6,-0.612583805753858
3.64,-0.628356921493558
3.68,-0.644204526096128
3.72,-0.660116980698806
3.76,-0.676084221753763
3.8,-0.692096110790043
3.84,-0.708141498802227
3.88,-0.724208952681013
3.92,-0.740286832824519
3.96,-0.756363356591042
4,-0.772426378701219
4.04,-0.788463978441548
4.08,-0.804464003844139
4.12,-0.820414071727394
4.16,-0.836301487894598
4.2,-0.852113391477918
4.24,-0.867836940564688
4.28,-0.883458780084652
4.32,-0.898965880750754
4.36,-0.914344480884062
4.4,-0.929581135119088
4.44,-0.944662067389877
4.48,-0.959573521760054
4.52,-0.974301581305577
4.56,-0.988832003141958
4.6,-1.00315049231503
4.64,-1.0172426181623
4.68,-1.03109411829672
4.72,-1.04469114445437
4.76,-1.05801931955943
4.8,-1.07106332049906
4.84,-1.08380617383863
4.88,-1.09623129237762
4.92,-1.1083289171585
4.96,-1.1200934929107
5,-1.13151229152904
5.04,-1.14254039006406
5.08,-1.15312470542407
5.12,-1.16328949147199
5.16,-1.17317047490828
5.2,-1.18283320582452
5.24,-1.19181710436958
5.28,-1.19962698265341
5.32,-1.20707071199731
5.36,-1.21557000834035
5.4,-1.22883665150373
5.44,-1.25383173184887
5.48,-1.29019508788644
5.52,-1.33828015223077
5.56,-1.39814337507017
