"Trazado1"
"Tiempo (sec)","Desplazamiento angular1 (deg)"
0,2.31642358564737e-06
0.04,0.000225779331530283
0.08,0.00178944204851604
0.12,0.00603023987358176
0.16,0.0142774386516227
0.2,0.0278468751593588
0.24,0.0480338520373372
0.28,0.076104751027174
0.32,0.113287216919709
0.36,0.160758979513999
0.4,0.219635507396847
0.44,0.290955457620351
0.48,0.375665773420774
0.52,0.474603487196875
0.56,0.588476801204504
0.6,0.71784377859428
0.64,0.863088714285467
0.68,1.02439609709236
0.72,1.20172245596417
0.76,1.39476652930358
0.8,1.60293555681772
0.84,1.82531136463221
0.88,2.06061759492281
0.92,2.30718567035794
0.96,2.5629236525507
1,2.82529577388309
1.04,3.09130674305665
1.08,3.35750737735925
1.12,3.62001439201758
1.16,3.87456193799132
1.2,4.11657650244348
1.24,4.34128452598648
1.28,4.54384954403476
1.32,4.71952410491146
1.36,4.8638149857952
1.4,4.97263562535147
1.44,5.04243693310489
1.48,5.07029687712363
1.52,5.05396339803382
1.56,4.99184809846691
1.6,4.88297506621164
1.64,4.72689929375746
1.68,4.52360026511015
1.72,4.27337355505168
1.76,3.97671989634987
1.8,3.63424895743888
1.84,3.24660128096634
1.88,2.81436973204992
1.92,2.33805594088666
1.96,1.81803126454376
2,1.2545036251607
2.04,0.647516145633221
2.08,-0.00307464862429924
2.12,-0.697596760268003
2.16,-1.43655091928949
2.2,-2.22059519901588
2.24,-3.05053694918278
2.28,-3.92729889141629
2.32,-4.85188292090606
2.36,-5.82532198392837
2.4,-6.84862127790432
2.44,-7.92268431092524
2.48,-9.0482237740652
2.52,-10.2256409671322
2.56,-11.4548895484119
2.6,-12.7353119720479
2.64,-14.0654608348443
2.68,-15.4428904510005
2.72,-16.863933108887
2.76,-18.3234644309632
2.8,-19.8147078959806
2.84,-21.3290451305841
2.88,-22.8559012609945
2.92,-24.3827327241578
2.96,-25.8950943474424
3,-27.3769201449867
3.04,-28.8108764758005
3.08,-30.1789173791736
3.12,-31.4629179315239
3.16,-32.645366087681
3.2,-33.7101094703773
3.24,-34.6429598382246
3.28,-35.4322598438623
3.32,-36.0692293944121
3.36,-36.5481598143357
3.4,-36.8664192706528
3.44,-37.024314504868
3.48,-37.0248196262604
3.52,-36.8732249685848
3.56,-36.5767446834409
3.6,-36.1441112885819
3.64,-35.5851984490974
3.68,-34.9106481042986
3.72,-34.1315683313747
3.76,-33.2592693163419
3.8,-32.3050387834752
3.84,-31.2799915352552
3.88,-30.1949019299249
3.92,-29.0601584258717
3.96,-27.8856154215093
4,-26.6806511780759
4.04,-25.4540416450821
4.08,-24.2139928321866
4.12,-22.9681319715681
4.16,-21.7235211586338
4.2,-20.4866436390346
4.24,-19.2634245569042
4.28,-18.0592463322725
4.32,-16.8789738291281
4.36,-15.7269801767164
4.4,-14.6071097365576
4.44,-13.522736959373
4.48,-12.4767902647808
4.52,-11.4717209518107
4.56,-10.5095522838469
4.6,-9.59189276014828
4.64,-8.71991395221207
4.68,-7.89441013680377
4.72,-7.1157879018474
4.76,-6.38411112211784
4.8,-5.6990699560977
4.84,-5.06006632661347
4.88,-4.46621471359245
4.92,-3.9163722667097
4.96,-3.40916316233179
5,-2.94303736394473
5.04,-2.51629636571087
5.08,-2.12711946284422
5.12,-1.77360468183942
5.16,-1.45382166401392
5.2,-1.16577832669386
5.24,-0.907527260161243
5.28,-0.67711756332736
5.32,-0.472661113669013
5.36,-0.292313666290755
5.4,-0.134295580632498
5.44,0.00311266140187124
5.48,0.121550777412653
5.52,0.222609732986623
5.56,0.307803719558192
5.6,0.378604917668768
5.64,0.436418962285313
5.68,0.482621226671559
5.72,0.518559855932641
5.76,0.545545820824726
5.8,0.564875338863872
5.84,0.577838316696739
5.88,0.585699821269949
5.92,0.589732502885044
5.96,0.591221616323481
6,0.591436187972061
