"Trazado4"
"Tiempo (sec)","Velocidad angular2 (deg/sec)"
0,0
0.04,0.000207944354967142
0.08,0.000922064450710718
0.12,0.00216594727274211
0.16,0.00393341720410087
0.2,0.00622432956207912
0.24,0.00903848885889892
0.28,0.0123757539470647
0.32,0.0162359283811413
0.36,0.0206187426616858
0.4,0.0255241883640755
0.44,0.0309517786090664
0.48,0.0369016515251168
0.52,0.0433736184970159
0.56,0.0503676438259206
0.6,0.0578836017856152
0.64,0.0659218451782459
0.68,0.074482101403049
0.72,0.0835639735402075
0.76,0.0931690366736139
0.8,0.103297675902959
0.84,0.113948081030889
0.88,0.12512311335456
0.92,0.136822285085748
0.96,0.149046950748808
1,0.161797633120387
1.04,0.175075704999665
1.08,0.188882393692455
1.12,0.203216430738323
1.16,0.218082775965885
1.2,0.233481229496114
1.24,0.249413802331594
1.28,0.265882714874666
1.32,0.282889054909617
1.36,0.300437484651289
1.4,0.318524123957655
1.44,0.337157441190306
1.48,0.356338034719662
1.52,0.37606941924812
1.56,0.396352620508105
1.6,0.417202436264777
1.64,0.438594550839093
1.68,0.460557767121195
1.72,0.483088551933322
1.76,0.506187633919872
1.8,0.529864135775565
1.84,0.55411645722731
1.88,0.57895139658825
1.92,0.604375955886405
1.96,0.6303890995203
2,0.657000954998615
2.04,0.684216331033449
2.08,0.712031927974941
2.12,0.740458369008747
2.16,0.76951476939109
2.2,0.79917046129686
2.24,0.829461491144895
2.28,0.860385184329847
2.32,0.891944495915987
2.36,0.924153684233697
2.4,0.95699339307256
2.44,0.990506117202469
2.48,1.02466692563331
2.52,1.05949017604218
2.56,1.09498474072005
2.6,1.13115379958231
2.64,1.16799480578407
2.68,1.20553370718112
2.72,1.24377940241392
2.76,1.28267161220678
2.8,1.32229916143712
2.84,1.3626129178418
2.88,1.40363266581164
2.92,1.44538988739007
2.96,1.48784603508176
3,1.53102038223021
3.04,1.57490844731569
3.08,1.61952920539134
3.12,1.6648779149769
3.16,1.71097317376055
3.2,1.75778574205887
3.24,1.80532103236631
3.28,1.85360859662974
3.32,1.90261780871474
