"Trazado1"
"Tiempo (sec)","Desplazamiento angular1 (deg)"
0,-1.30052145580801e-05
0.04,0.00037390452409107
0.08,0.00307955840385384
0.12,0.0104024219814408
0.16,0.0245799474816944
0.2,0.0477233684897423
0.24,0.0817273875471206
0.28,0.128153587656514
0.32,0.18808540847491
0.36,0.26195274818972
0.4,0.349323955923355
0.44,0.448664271838341
0.48,0.55706728508333
0.52,0.669967698906072
0.56,0.780863865885574
0.6,0.881090137421864
0.64,0.959701200852301
0.68,1.00354630468908
0.72,0.997611561443849
0.76,0.925679094648544
0.8,0.806926837645407
0.84,0.689275049662204
0.88,0.575540611707229
0.92,0.468124480387134
0.96,0.36958432587836
1,0.282523441418496
1.04,0.209612661286674
1.08,0.15356248493886
1.12,0.117113785475398
1.16,0.103026011081143
1.2,0.114068979456812
1.24,0.15301508192528
1.28,0.222633232347921
1.32,0.325682525037945
1.36,0.464907665687549
1.4,0.643032631740807
1.44,0.862756361577179
1.48,1.12674670111534
1.52,1.43763212758106
1.56,1.7979984857179
1.6,2.21038112029032
1.64,2.67725123992995
1.68,3.20101820792329
1.72,3.7840125570427
1.76,4.42848599116558
1.8,5.13660024557454
1.84,5.91041105614895
1.88,6.75188655386907
1.92,7.6628877649629
1.96,8.64517251794982
2,9.7004145602266
2.04,10.8301877471871
2.08,12.0360117112965
2.12,13.3193733550702
2.16,14.6817746954907
2.2,16.1258446115067
2.24,17.1968294406118
2.28,16.9106212136261
2.32,15.3741809094112
2.36,13.0113761428762
2.4,10.4160451185556
2.44,7.87288327227251
2.48,5.34092071923604
2.52,2.81392207643621
2.56,0.287667834218052
2.6,-2.24111712092497
2.64,-4.7748701798805
2.68,-7.31524901294266
2.72,-9.86315833789558
2.76,-12.4187428651258
2.8,-14.9814118922029
2.84,-17.549802824205
2.88,-20.1217655205555
2.92,-22.6943670887724
2.96,-25.2638363661412
3,-27.8256438860804
3.04,-30.3744687970888
3.08,-32.9042928113233
3.12,-35.4084630097839
3.16,-37.8797661025819
3.2,-40.3106349849433
3.24,-42.6932114091251
3.28,-45.0196025731825
3.32,-47.2820150465063
3.36,-49.472954802516
3.4,-51.585377362377
3.44,-53.6128715440863
3.48,-55.5497953929774
3.52,-57.391336844101
3.56,-59.1336203676644
3.6,-60.750564704308
3.64,-61.4107242092762
3.68,-60.6660960248568
3.72,-58.8645763161349
3.76,-56.6342852205415
3.8,-54.5138247327623
3.84,-52.4394538909374
3.88,-50.3945143733011
3.92,-48.381171013374
3.96,-46.4009140030021
4,-44.4550171579818
4.04,-42.5444095801149
4.08,-40.6697992603429
4.12,-38.8317028214614
4.16,-37.0304947747124
4.2,-35.2664059991517
4.24,-33.5395648897986
4.28,-31.8500234042927
4.32,-30.1977921371778
4.36,-28.5828733414965
4.4,-27.0052041888384
4.44,-25.4647324448045
4.48,-23.961443166995
4.52,-22.4953059118657
4.56,-21.0663350646486
4.6,-19.674599382482
4.64,-18.3201748509936
4.68,-17.0032183954889
4.72,-15.7239326066893
4.76,-14.4826139138211
4.8,-13.2795685510098
4.84,-12.1152182568703
4.88,-10.9900610423832
4.92,-9.90466881746922
4.96,-8.85968573715732
5,-7.85582565007357
5.04,-6.89396613073732
5.08,-5.97506264576285
5.12,-5.09963859453422
5.16,-4.26951698659856
5.2,-3.48823060216641
5.24,-2.78865903002278
5.28,-2.18028345016369
5.32,-1.66010612645757
5.36,-1.22212534250417
5.4,-0.858456410796243
5.44,-0.560264870250641
5.48,-0.318573692712557
5.52,-0.124758273699684
5.56,0.0290306162237355
5.6,0.149737378015242
5.64,0.243291749476678
5.68,0.314698009142641
5.72,0.368121485862873
5.76,0.406991735486552
5.8,0.434167511656062
5.84,0.45207760753694
5.88,0.462815343197979
5.92,0.468286950945827
5.96,0.470301136062454
6,0.470591088197958
