"Trazado3"
"Tiempo (sec)","Velocidad angular1 (deg/sec)"
0,0
0.04,0.00036007016973331
0.08,0.00159658179742916
0.12,0.00375020704266453
0.16,0.00680976591794776
0.2,0.010774061224969
0.24,0.0156411625291043
0.28,0.0214084415899714
0.32,0.0280722206318112
0.36,0.035627562340445
0.4,0.0440687015938931
0.44,0.0533875947014323
0.48,0.0635756616011626
0.52,0.0746219834806905
0.56,0.086513971512442
0.6,0.099236749527481
0.64,0.112774011146922
0.68,0.127105917917908
0.72,0.142209813597905
0.76,0.15806362128754
0.8,0.174640243577769
0.84,0.191905757607678
0.88,0.209830808501972
0.92,0.228376874653896
0.96,0.247504847172289
1,0.267170321610538
1.04,0.287326239796408
1.08,0.30792098873386
1.12,0.328894435297397
1.16,0.350192042953934
1.2,0.371745999897605
1.24,0.393486913302331
1.28,0.415340357851882
1.32,0.437224627934308
1.36,0.459057750304035
1.4,0.480738708335762
1.44,0.50217971865453
1.48,0.523274629423284
1.52,0.543914797588557
1.56,0.563981089832666
1.6,0.583366835690516
1.64,0.601904626420989
1.68,0.619494042520092
1.72,0.635981091597009
1.76,0.651210534107764
1.8,0.665032663660556
1.84,0.677275993255379
1.88,0.68777061152415
1.92,0.696340949753011
1.96,0.702796609940485
2,0.706949397402618
2.04,0.708601248329975
2.08,0.707540848167056
2.12,0.703561193234414
2.16,0.69646338906957
2.2,0.685994385399374
2.24,0.671959366585908
2.28,0.654128956378902
2.32,0.632271677228143
2.36,0.606171849422152
2.4,0.575584178877401
2.44,0.540314599039724
2.48,0.500122197254024
2.52,0.454805601416561
2.56,0.404158646450909
2.6,0.347987929095421
2.64,0.286111566765945
2.68,0.218360903906571
2.72,0.144586933619454
2.76,0.0646444841241528
2.8,0.0215731831232485
2.84,0.114156324064837
2.88,0.213179126930056
2.92,0.318691697122659
2.96,0.430678746797976
3,0.54922132204699
3.04,0.674033714254406
3.08,0.752961866240487
3.12,0.743551354765636
3.16,0.745373638835872
3.2,0.7427072696399
3.24,0.740147766765112
3.28,0.73659383959702
3.32,0.731901542892543
3.36,0.726290130610008
3.4,0.719799703689153
3.44,0.712454991684058
3.48,0.704195249653705
3.52,0.694966139101715
3.56,0.684739660864078
3.6,0.673521165722205
3.64,0.661279674710393
3.68,0.648032627481191
3.72,0.633798699058174
3.76,0.618540057696772
3.8,0.602283863090078
3.84,0.585005017357075
3.88,0.566691935815935
3.92,0.547334184137081
3.96,0.526933014685984
4,0.505489401831932
4.04,0.482983453050149
4.08,0.459431056730218
4.12,0.434820374372556
4.16,0.409145460389515
4.2,0.382397720955856
4.24,0.354596474994542
4.28,0.32571004883416
4.32,0.295768333232491
4.36,0.264731623731902
4.4,0.232626922621475
4.44,0.19944104336363
4.48,0.165179427441351
4.52,0.129837273234671
4.56,0.0934122931387645
4.6,0.0559056947253481
4.64,0.0173158993822379
4.68,0.022356735931821
4.72,0.0631132165573842
4.76,0.104951582585533
4.8,0.147874499573893
4.84,0.19187887886432
4.88,0.2369661579978
4.92,0.283136907162177
4.96,0.330387369098105
5,0.378716767849365
5.04,0.428129167392541
5.08,0.478614768334455
5.12,0.530182802150393
5.16,0.582821504078892
5.2,0.63653612726868
5.24,0.691326688388537
5.28,0.747184711011627
5.32,0.804099849441791
5.36,0.862115875655361
5.4,0.92117889419809
5.44,0.981326170395424
5.48,1.04245175704446
5.52,1.10470043234663
5.56,1.16798657512003
5.6,1.23233108879701
5.64,1.29773358041062
5.68,1.36419357721918
5.72,1.43165570191858
5.76,1.50017088540665
5.8,1.56973916294632
5.84,1.64033068838329
5.88,1.71197285238857
5.92,1.78460136806068
5.96,1.85824419312858
6,1.93293338901334
6.04,2.00859819467993
6.08,2.08530641922775
6.12,2.16302107300192
6.16,2.24170138448229
6.2,2.32138156348616
6.24,2.40201939202029
6.28,2.48369234383593
6.32,2.56627412249685
6.36,2.64988736932986
6.4,2.73440070040409
6.44,2.81994035365462
6.48,2.90636987793806
6.52,2.99382315284754
6.56,3.08210849128196
6.6,3.17136332546858
6.64000000000001,3.26153548043938
6.68000000000001,3.35262043227252
6.72000000000001,3.44466604420523
6.76000000000001,3.53751161462683
6.80000000000001,3.63130930843031
6.84000000000001,3.72594739161776
6.88000000000001,3.82141858404754
6.92000000000001,3.91794315310484
